community,sv,count,fract
wgs__ERR2213662,sv-12521:wgs__ERR2213662,965,0.007805170015205927
wgs__ERR2213662,sv-13030:wgs__ERR2213662,868,0.007020608884143777
wgs__ERR2213662,sv-13191:wgs__ERR2213662,839,0.006786049370733444
wgs__ERR2213662,sv-13244:wgs__ERR2213662,829,0.006705166779902294
wgs__ERR2213662,sv-14134:wgs__ERR2213662,656,0.005305897958523408
wgs__ERR2213662,sv-14762:wgs__ERR2213662,541,0.004375748163965188
wgs__ERR2213662,sv-15325:wgs__ERR2213662,440,0.003558833996570578
wgs__ERR2213662,sv-16063:wgs__ERR2213662,315,0.0025478016111812095
wgs__ERR2213662,sv-17011:wgs__ERR2213662,183,0.001480151412210036
wgs__ERR2213662,sv-17391:wgs__ERR2213662,136,0.0011000032353036334
wgs__ERR2213662,sv-17862:wgs__ERR2213662,87,0.0007036785402310007
wgs__ERR2213664,sv-431:wgs__ERR2235324,210,0.0035060772004808336
wgs__ERR2213664,sv-1511:wgs__ERR2213664,3135,0.05234072392146387
wgs__ERR2213664,sv-1778:wgs__ERR2235256,1124,0.018765860825430747
wgs__ERR2213664,sv-1831:wgs__SRR5930501,1662,0.02774809670094831
wgs__ERR2213664,sv-2541:wgs__ERR2213664,2080,0.03472685989047682
wgs__ERR2213664,sv-2813:wgs__ERR2213664,1923,0.03210564979297449
wgs__ERR2213664,sv-3250:wgs__ERR2213664,1724,0.028783224255375984
wgs__ERR2213664,sv-3288:wgs__ERR2213664,1709,0.028532790169627353
wgs__ERR2213664,sv-3815:wgs__ERR2213664,1518,0.025343929477761453
wgs__ERR2213664,sv-3934:wgs__ERR2213664,1489,0.024859756911980765
wgs__ERR2213664,sv-4285:wgs__ERR2213664,1403,0.023423934820355284
wgs__ERR2213664,sv-4319:wgs__ERR2213664,1398,0.023340456791772407
wgs__ERR2213664,sv-4708:wgs__ERR2213664,1319,0.02202150394016295
wgs__ERR2213664,sv-4835:wgs__ERR2213664,1295,0.021620809402965138
wgs__ERR2213664,sv-4909:wgs__ERR2213664,1280,0.021370375317216507
wgs__ERR2213664,sv-5063:wgs__ERR2213664,1253,0.020919593962868972
wgs__ERR2213664,sv-5136:wgs__ERR2213664,1243,0.020752637905703218
wgs__ERR2213664,sv-5429:wgs__ERR2213664,1197,0.01998464004274075
wgs__ERR2213664,sv-5590:wgs__ERR2213664,1174,0.019600641111259517
wgs__ERR2213664,sv-5690:wgs__ERR2213664,1159,0.019350207025510886
wgs__ERR2213664,sv-5722:wgs__ERR2213664,1153,0.019250033391211435
wgs__ERR2213664,sv-5868:wgs__ERR2213664,1133,0.018916121276879926
wgs__ERR2213664,sv-5944:wgs__ERR2213664,1121,0.01871577400828102
wgs__ERR2213664,sv-6111:wgs__ERR2213664,1098,0.018331775076799787
wgs__ERR2213664,sv-6185:wgs__ERR2213664,1089,0.018181514625350607
wgs__ERR2213664,sv-6199:wgs__ERR2213664,1087,0.018148123413917458
wgs__ERR2213664,sv-6274:wgs__ERR2213664,1078,0.01799786296246828
wgs__ERR2213664,sv-6301:wgs__ERR2213664,1075,0.01794777614531855
wgs__ERR2213664,sv-6394:wgs__ERR2213664,1063,0.017747428876719647
wgs__ERR2213664,sv-6471:wgs__ERR2213664,1053,0.017580472819553893
wgs__ERR2213664,sv-6592:wgs__ERR2213664,1039,0.017346734339521837
wgs__ERR2213664,sv-6860:wgs__ERR2213664,1007,0.016812474956591425
wgs__ERR2213664,sv-6956:wgs__ERR2213664,994,0.016595432082275943
wgs__ERR2213664,sv-7091:wgs__ERR2213664,977,0.016311606785094163
wgs__ERR2213664,sv-7158:wgs__ERR2213664,969,0.01617804193936156
wgs__ERR2213664,sv-7168:wgs__ERR2213664,968,0.016161346333644983
wgs__ERR2213664,sv-7277:wgs__ERR2213664,956,0.01596099906504608
wgs__ERR2213664,sv-7465:wgs__ERR2213664,934,0.015593695739281422
wgs__ERR2213664,sv-7526:wgs__ERR2213664,927,0.015476826499265394
wgs__ERR2213664,sv-8457:wgs__ERR2213664,831,0.013874048350474155
wgs__ERR2213664,sv-8556:wgs__ERR2213664,822,0.013723787899024977
wgs__ERR2213664,sv-8621:wgs__ERR2213664,815,0.013606918659008949
wgs__ERR2213664,sv-8698:wgs__ERR2213664,807,0.013473353813276346
wgs__ERR2213664,sv-9316:wgs__ERR2213664,747,0.012471617470281821
wgs__ERR2213664,sv-9977:wgs__ERR2213664,685,0.011436489915854147
wgs__ERR2213664,sv-9988:wgs__ERR2213664,684,0.011419794310137572
wgs__ERR2213664,sv-10705:wgs__ERR2213664,623,0.010401362361426473
wgs__ERR2213664,sv-11086:wgs__ERR2213664,590,0.009850407372779485
wgs__ERR2213664,sv-11425:wgs__ERR2213664,561,0.009366234806998799
wgs__ERR2213664,sv-12155:wgs__ERR2213664,498,0.008314411646854548
